GEOID,NAME,pop,income,rent,home_value,vacancy_rate,ami_60,below_60_ami,PovertyRate,LILATracts_1And10,lapop1share,LATracts_half,TractHUNV,TractSNAP,snap_pct,hunv_pct
29095007400,"Census Tract 74, Jackson County, Missouri",4000,97826,1544,399000,0.1627,49620,0,18.7,0,NULL,1,57,15,0.0037,0.0142
29095004600,"Census Tract 46, Jackson County, Missouri",2458,59688,919,233900,0.1672,49620,0,12,0,17.79,1,66,43,0.0175,0.0269
29095002300,"Census Tract 23, Jackson County, Missouri",2058,30417,650,52100,0.2188,49620,1,40,0,NULL,1,188,262,0.1273,0.0914
29095012000,"Census Tract 120, Jackson County, Missouri",3492,51829,838,99200,0.1008,49620,0,16.7,0,14.43,1,66,188,0.0538,0.0189
29095017400,"Census Tract 174, Jackson County, Missouri",2721,33464,804,90300,0.0956,49620,1,22.7,0,0.27,1,179,203,0.0746,0.0658
29095014111,"Census Tract 141.11, Jackson County, Missouri",3534,84286,1132,229900,0.0638,49620,0,6.2,0,88.72,0,47,36,0.0102,0.0133
29095018200,"Census Tract 182, Jackson County, Missouri",3841,132566,1478,294000,0,49620,0,2.8,0,100.00,1,6,16,0.0042,0.0016
29095015000,"Census Tract 150, Jackson County, Missouri",3698,65592,891,146900,0.0949,49620,0,7.9,0,70.98,0,25,56,0.0151,0.0068
29095011700,"Census Tract 117, Jackson County, Missouri",3755,30563,745,76300,0.2047,49620,1,34.7,0,0.05,1,193,277,0.0738,0.0514
29095017700,"Census Tract 177, Jackson County, Missouri",5003,95273,1299,133300,0.0369,49620,0,2.8,0,60.48,0,26,59,0.0118,0.0052
29095015100,"Census Tract 151, Jackson County, Missouri",5839,64685,999,132300,0.0524,49620,0,10,0,36.19,1,18,172,0.0295,0.0031
29095009600,"Census Tract 96, Jackson County, Missouri",1708,23036,663,60000,0.2002,49620,1,52.5,1,91.89,1,165,261,0.1528,0.0966
29095014005,"Census Tract 140.05, Jackson County, Missouri",5235,71736,809,130100,0.0585,49620,0,7.3,0,66.50,1,43,208,0.0397,0.0082
29095014701,"Census Tract 147.01, Jackson County, Missouri",3883,67713,995,212600,0.1279,49620,0,11.7,0,14.48,1,126,21,0.0054,0.0324
29095014112,"Census Tract 141.12, Jackson County, Missouri",1775,113000,1271,300400,0.0229,49620,0,4.1,0,100.00,0,3,10,0.0056,0.0017
29095014002,"Census Tract 140.02, Jackson County, Missouri",1773,63750,1104,180500,0.0821,49620,0,8.8,0,99.45,0,6,37,0.0209,0.0034
29095013902,"Census Tract 139.02, Jackson County, Missouri",1665,88125,1063,213100,0.0103,49620,0,3.4,0,100.00,0,5,12,0.0072,0.003
29095011300,"Census Tract 113, Jackson County, Missouri",5424,63000,782,95100,0.1281,49620,0,12.3,0,10.22,1,174,366,0.0675,0.0321
29095014203,"Census Tract 142.03, Jackson County, Missouri",4270,118681,2606,261800,0,49620,0,1.3,0,59.10,1,0,25,0.0059,0
29095010103,"Census Tract 101.03, Jackson County, Missouri",2455,55956,849,136800,0.0963,49620,0,6.2,0,100.00,1,17,94,0.0383,0.0069
29095010600,"Census Tract 106, Jackson County, Missouri",3319,68381,1280,107500,0.0982,49620,0,11.8,0,8.34,1,72,87,0.0262,0.0217
29095988300,"Census Tract 9883, Jackson County, Missouri",100,56719,NA,231300,0,49620,0,0,0,100.00,0,0,0,0,0
29095008400,"Census Tract 84, Jackson County, Missouri",2904,179333,NA,556500,0.0177,49620,0,0.7,0,NULL,1,0,8,0.0028,0
29095010500,"Census Tract 105, Jackson County, Missouri",4417,42329,895,81700,0.1009,49620,1,20.4,1,72.73,1,316,425,0.0962,0.0715
29095008700,"Census Tract 87, Jackson County, Missouri",2338,36279,883,53400,0.2952,49620,1,27.3,0,14.33,1,255,309,0.1322,0.1091
29095011800,"Census Tract 118, Jackson County, Missouri",4476,44891,884,68500,0.2075,49620,1,9.7,1,21.14,1,247,241,0.0538,0.0552
29095014007,"Census Tract 140.07, Jackson County, Missouri",6219,61466,1022,161900,0.037,49620,0,6.6,0,37.24,1,69,112,0.018,0.0111
29095000300,"Census Tract 3, Jackson County, Missouri",1524,27778,739,165800,0.1087,49620,1,36.7,0,0.00,1,135,213,0.1398,0.0886
29095013309,"Census Tract 133.09, Jackson County, Missouri",5015,45500,859,119200,0.0154,49620,1,16.6,1,53.23,1,111,494,0.0985,0.0221
29095013003,"Census Tract 130.03, Jackson County, Missouri",5232,49247,1103,81800,0.1416,49620,1,7.6,1,16.16,1,114,191,0.0365,0.0218
29095016300,"Census Tract 163, Jackson County, Missouri",2106,33301,874,55500,0.1971,49620,1,17.3,1,95.56,1,127,219,0.104,0.0603
29095013904,"Census Tract 139.04, Jackson County, Missouri",7110,101474,1279,213000,0.0288,49620,0,2.5,0,46.70,1,33,0,0,0.0046
